"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202026,9,206,0.025,2.5,873043,1.03,23.6,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202027,8,214,0.012,1.2,873043,0.92,24.51,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202028,14,228,0.022,2.2,873043,1.6,26.12,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202029,20,248,0.028,2.8,873043,2.29,28.41,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202030,14,262,0.017,1.7,873043,1.6,30.01,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202031,19,281,0.016,1.6,873043,2.18,32.19,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202032,19,300,0.017,1.7,873043,2.18,34.36,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202033,29,329,0.018,1.8,873043,3.32,37.68,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202034,30,359,0.016,1.6,873043,3.44,41.12,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202035,38,397,0.018,1.8,873043,4.35,45.47,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202036,42,439,0.017,1.7,873043,4.81,50.28,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202037,20,459,0.007,0.7,873043,2.29,52.57,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202038,15,474,0.005,0.5,873043,1.72,54.29,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202039,15,489,0.007,0.7,873043,1.72,56.01,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202040,27,516,0.008,0.8,873043,3.09,59.1,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202041,60,576,0.007,0.7,873043,6.87,65.98,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202042,125,701,0.006,0.6,873043,14.32,80.29,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202043,259,960,0.007,0.7,873043,29.67,109.96,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202044,394,1354,0.007,0.7,873043,45.13,155.09,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202045,424,1778,0.008,0.8,873043,48.57,203.66,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202046,414,2192,0.01,1,873043,47.42,251.08,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202047,379,2571,0.013,1.3,873043,43.41,294.49,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202048,277,2848,0.011,1.1,873043,31.73,326.22,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202049,297,3145,0.011,1.1,873043,34.02,360.23,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202050,414,3559,0.014,1.4,873043,47.42,407.65,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202051,411,3970,0.014,1.4,873043,47.08,454.73,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202052,292,4262,0.012,1.2,873043,33.45,488.18,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202053,210,4472,0.009,0.9,873043,24.05,512.23,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202101,272,4744,0.012,1.2,873043,31.16,543.39,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202102,244,4988,0.016,1.6,873043,27.95,571.33,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202103,388,5376,0.029,2.9,873043,44.44,615.78,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202104,453,5829,0.039,3.9,873043,51.89,667.66,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202105,538,6367,0.054,5.4,873043,61.62,729.29,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202106,341,6708,0.043,4.3,873043,39.06,768.35,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202107,225,6933,0.032,3.2,873043,25.77,794.12,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202108,232,7165,0.032,3.2,873043,26.57,820.69,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202109,277,7442,0.037,3.7,873043,31.73,852.42,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202110,418,7860,0.048,4.8,873043,47.88,900.3,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202111,576,8436,0.055,5.5,873043,65.98,966.28,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202112,177,8613,0.05,5,873043,20.27,986.55,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202009,1,1,0.018,1.8,844155,0.12,0.12,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202010,9,10,0.024,2.4,844155,1.07,1.18,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202011,45,55,0.02,2,844155,5.33,6.52,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202012,195,250,0.03,3,844155,23.1,29.62,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202013,172,422,0.023,2.3,844155,20.38,49.99,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202014,157,579,0.026,2.6,844155,18.6,68.59,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202015,102,681,0.028,2.8,844155,12.08,80.67,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202016,67,748,0.036,3.6,844155,7.94,88.61,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202017,45,793,0.039,3.9,844155,5.33,93.94,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202018,25,818,0.036,3.6,844155,2.96,96.9,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202019,24,842,0.06,6,844155,2.84,99.74,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202020,24,866,0.104,10.4,844155,2.84,102.59,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202021,10,876,0.065,6.5,844155,1.18,103.77,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202022,15,891,0.119,11.9,844155,1.78,105.55,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202023,16,907,0.162,16.2,844155,1.9,107.44,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202024,11,918,0.079,7.9,844155,1.3,108.75,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202025,10,928,0.058,5.8,844155,1.18,109.93,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202026,28,956,0.078,7.8,844155,3.32,113.25,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202027,57,1013,0.083,8.3,844155,6.75,120,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202028,46,1059,0.072,7.2,844155,5.45,125.45,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202029,47,1106,0.066,6.6,844155,5.57,131.02,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202030,70,1176,0.085,8.5,844155,8.29,139.31,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202031,102,1278,0.088,8.8,844155,12.08,151.39,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202032,137,1415,0.125,12.5,844155,16.23,167.62,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202033,182,1597,0.116,11.6,844155,21.56,189.18,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202034,221,1818,0.119,11.9,844155,26.18,215.36,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202035,260,2078,0.124,12.4,844155,30.8,246.16,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202036,226,2304,0.092,9.2,844155,26.77,272.94,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202037,312,2616,0.109,10.9,844155,36.96,309.9,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202038,341,2957,0.117,11.7,844155,40.4,350.29,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202039,183,3140,0.083,8.3,844155,21.68,371.97,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202040,256,3396,0.074,7.4,844155,30.33,402.3,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202041,723,4119,0.083,8.3,844155,85.65,487.94,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202042,1536,5655,0.079,7.9,844155,181.96,669.9,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202043,2919,8574,0.074,7.4,844155,345.79,1015.69,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202044,4862,13436,0.087,8.7,844155,575.96,1591.65,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202045,4508,17944,0.088,8.8,844155,534.03,2125.68,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202046,3655,21599,0.092,9.2,844155,432.98,2558.65,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202047,2632,24231,0.087,8.7,844155,311.79,2870.44,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202048,2327,26558,0.089,8.9,844155,275.66,3146.1,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202049,2444,29002,0.09,9,844155,289.52,3435.62,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202050,2685,31687,0.089,8.9,844155,318.07,3753.69,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202051,2506,34193,0.086,8.6,844155,296.86,4050.56,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202052,1692,35885,0.071,7.1,844155,200.44,4251,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202053,1683,37568,0.072,7.2,844155,199.37,4450.37,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202101,2148,39716,0.098,9.8,844155,254.46,4704.82,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202102,1475,41191,0.097,9.7,844155,174.73,4879.55,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202103,1554,42745,0.115,11.5,844155,184.09,5063.64,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202104,1398,44143,0.122,12.2,844155,165.61,5229.25,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202105,1349,45492,0.134,13.4,844155,159.8,5389.06,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202106,1026,46518,0.131,13.1,844155,121.54,5510.6,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202107,860,47378,0.123,12.3,844155,101.88,5612.48,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202108,898,48276,0.124,12.4,844155,106.38,5718.85,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202109,932,49208,0.123,12.3,844155,110.41,5829.26,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202110,1306,50514,0.149,14.9,844155,154.71,5983.97,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202111,1499,52013,0.143,14.3,844155,177.57,6161.55,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202112,520,52533,0.147,14.7,844155,61.6,6223.15,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202009,15,15,0.268,26.8,1045350,1.43,1.43,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202010,42,57,0.112,11.2,1045350,4.02,5.45,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202011,266,323,0.118,11.8,1045350,25.45,30.9,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202012,749,1072,0.114,11.4,1045350,71.65,102.55,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202013,781,1853,0.106,10.6,1045350,74.71,177.26,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202014,742,2595,0.123,12.3,1045350,70.98,248.24,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202015,507,3102,0.141,14.1,1045350,48.5,296.74,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202016,287,3389,0.156,15.6,1045350,27.45,324.2,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202017,201,3590,0.172,17.2,1045350,19.23,343.43,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202018,122,3712,0.175,17.5,1045350,11.67,355.1,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202019,62,3774,0.154,15.4,1045350,5.93,361.03,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202020,28,3802,0.121,12.1,1045350,2.68,363.71,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202021,32,3834,0.208,20.8,1045350,3.06,366.77,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202022,25,3859,0.198,19.8,1045350,2.39,369.16,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202023,19,3878,0.192,19.2,1045350,1.82,370.98,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202024,25,3903,0.179,17.9,1045350,2.39,373.37,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202025,49,3952,0.287,28.7,1045350,4.69,378.06,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202026,104,4056,0.291,29.1,1045350,9.95,388,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
