"country_code" "sex" "age_group" "epi_year" "earlier_death_counts" "later_death_counts"
"116" "DNK" "Male" "[75,85)" "2018/2019" 5967 2641
"117" "DNK" "Male" "[75,85)" "2019/2020" 6027 2830
"118" "DNK" "Male" "85+" "2007/2008" 4152 1813
"119" "DNK" "Male" "85+" "2008/2009" 4441 1830
"120" "DNK" "Male" "85+" "2009/2010" 4277 1812
"121" "DNK" "Male" "85+" "2010/2011" 4408 1873
"122" "DNK" "Male" "85+" "2011/2012" 4240 1950
"123" "DNK" "Male" "85+" "2012/2013" 4649 2007
"124" "DNK" "Male" "85+" "2013/2014" 4261 1901
"125" "DNK" "Male" "85+" "2014/2015" 4739 2070
"126" "DNK" "Male" "85+" "2015/2016" 4676 2061
"127" "DNK" "Male" "85+" "2016/2017" 4958 2150
"128" "DNK" "Male" "85+" "2017/2018" 5111 2281
"129" "DNK" "Male" "85+" "2018/2019" 5062 2161
"130" "DNK" "Male" "85+" "2019/2020" 5080 2313
"131" "ESP" "Female" "[0,15)" "2007/2008" 754 328
"132" "ESP" "Female" "[0,15)" "2008/2009" 783 263
"133" "ESP" "Female" "[0,15)" "2009/2010" 744 299
"134" "ESP" "Female" "[0,15)" "2010/2011" 756 267
"135" "ESP" "Female" "[0,15)" "2011/2012" 699 266
"136" "ESP" "Female" "[0,15)" "2012/2013" 657 251
"137" "ESP" "Female" "[0,15)" "2013/2014" 563 226
"138" "ESP" "Female" "[0,15)" "2014/2015" 597 226
"139" "ESP" "Female" "[0,15)" "2015/2016" 488 214
"140" "ESP" "Female" "[0,15)" "2016/2017" 495 206
"141" "ESP" "Female" "[0,15)" "2017/2018" 538 192
"142" "ESP" "Female" "[0,15)" "2018/2019" 472 210
"143" "ESP" "Female" "[0,15)" "2019/2020" 528.020144924178 273.024983728021
"144" "ESP" "Female" "[15,65)" "2007/2008" 12689 5613
"145" "ESP" "Female" "[15,65)" "2008/2009" 12823 5409
"146" "ESP" "Female" "[15,65)" "2009/2010" 12572 5353
"147" "ESP" "Female" "[15,65)" "2010/2011" 12779 5512
"148" "ESP" "Female" "[15,65)" "2011/2012" 12666 5460
"149" "ESP" "Female" "[15,65)" "2012/2013" 12632 5497
"150" "ESP" "Female" "[15,65)" "2013/2014" 12603 5474
"151" "ESP" "Female" "[15,65)" "2014/2015" 12635 5359
"152" "ESP" "Female" "[15,65)" "2015/2016" 12906 5490
"153" "ESP" "Female" "[15,65)" "2016/2017" 12755 5634
"154" "ESP" "Female" "[15,65)" "2017/2018" 13297 5622
"155" "ESP" "Female" "[15,65)" "2018/2019" 12995 5553
"156" "ESP" "Female" "[15,65)" "2019/2020" 13310.4482408379 6728.61309415378
"157" "ESP" "Female" "[65,75)" "2007/2008" 13495 5623
"158" "ESP" "Female" "[65,75)" "2008/2009" 12970 5556
"159" "ESP" "Female" "[65,75)" "2009/2010" 12276 5355
"160" "ESP" "Female" "[65,75)" "2010/2011" 11993 5175
"161" "ESP" "Female" "[65,75)" "2011/2012" 11835 5029
"162" "ESP" "Female" "[65,75)" "2012/2013" 11397 5018
"163" "ESP" "Female" "[65,75)" "2013/2014" 11993 5167
"164" "ESP" "Female" "[65,75)" "2014/2015" 12706 5175
"165" "ESP" "Female" "[65,75)" "2015/2016" 12181 5434
"166" "ESP" "Female" "[65,75)" "2016/2017" 12832 5482
"167" "ESP" "Female" "[65,75)" "2017/2018" 13366 5563
"168" "ESP" "Female" "[65,75)" "2018/2019" 13108 5548
"169" "ESP" "Female" "[65,75)" "2019/2020" 13107.4427664921 7502.67666833334
"170" "ESP" "Female" "[75,85)" "2007/2008" 40673 17386
"171" "ESP" "Female" "[75,85)" "2008/2009" 41323 16933
"172" "ESP" "Female" "[75,85)" "2009/2010" 39225 16690
"173" "ESP" "Female" "[75,85)" "2010/2011" 39011 16385
"174" "ESP" "Female" "[75,85)" "2011/2012" 41395 17015
"175" "ESP" "Female" "[75,85)" "2012/2013" 37637 16052
"176" "ESP" "Female" "[75,85)" "2013/2014" 37657 15722
"177" "ESP" "Female" "[75,85)" "2014/2015" 38525 15887
"178" "ESP" "Female" "[75,85)" "2015/2016" 35828 15366
"179" "ESP" "Female" "[75,85)" "2016/2017" 36010 14527
"180" "ESP" "Female" "[75,85)" "2017/2018" 35663 14649
"181" "ESP" "Female" "[75,85)" "2018/2019" 33090 13699
"182" "ESP" "Female" "[75,85)" "2019/2020" 31181.0881501333 19416.7739403077
"183" "ESP" "Female" "85+" "2007/2008" 60616 26189
"184" "ESP" "Female" "85+" "2008/2009" 63419 26565
"185" "ESP" "Female" "85+" "2009/2010" 61987 27146
"186" "ESP" "Female" "85+" "2010/2011" 65148 27880
"187" "ESP" "Female" "85+" "2011/2012" 73250 30191
"188" "ESP" "Female" "85+" "2012/2013" 67519 29936
"189" "ESP" "Female" "85+" "2013/2014" 71592 30838
"190" "ESP" "Female" "85+" "2014/2015" 80889 33503
"191" "ESP" "Female" "85+" "2015/2016" 75661 33848
"192" "ESP" "Female" "85+" "2016/2017" 85299 34564
"193" "ESP" "Female" "85+" "2017/2018" 86781 36073
"194" "ESP" "Female" "85+" "2018/2019" 84296 35717
"195" "ESP" "Female" "85+" "2019/2020" 83084.0006976126 51106.9113134771
"196" "ESP" "Male" "[0,15)" "2007/2008" 1052 414
"197" "ESP" "Male" "[0,15)" "2008/2009" 1008 393
"198" "ESP" "Male" "[0,15)" "2009/2010" 917 372
"199" "ESP" "Male" "[0,15)" "2010/2011" 873 371
"200" "ESP" "Male" "[0,15)" "2011/2012" 845 344
"201" "ESP" "Male" "[0,15)" "2012/2013" 766 313
"202" "ESP" "Male" "[0,15)" "2013/2014" 691 297
"203" "ESP" "Male" "[0,15)" "2014/2015" 707 309
"204" "ESP" "Male" "[0,15)" "2015/2016" 650 290
"205" "ESP" "Male" "[0,15)" "2016/2017" 663 271
"206" "ESP" "Male" "[0,15)" "2017/2018" 667 260
"207" "ESP" "Male" "[0,15)" "2018/2019" 615 247
"208" "ESP" "Male" "[0,15)" "2019/2020" 658.047387825569 292.059714855655
"209" "ESP" "Male" "[15,65)" "2007/2008" 30480 13121
"210" "ESP" "Male" "[15,65)" "2008/2009" 29593 12538
"211" "ESP" "Male" "[15,65)" "2009/2010" 28770 12377
"212" "ESP" "Male" "[15,65)" "2010/2011" 28896 12061
"213" "ESP" "Male" "[15,65)" "2011/2012" 27924 11974
"214" "ESP" "Male" "[15,65)" "2012/2013" 27338 11898
"215" "ESP" "Male" "[15,65)" "2013/2014" 26907 11188
"216" "ESP" "Male" "[15,65)" "2014/2015" 26518 11326
"217" "ESP" "Male" "[15,65)" "2015/2016" 26610 11575
"218" "ESP" "Male" "[15,65)" "2016/2017" 26188 11122
"219" "ESP" "Male" "[15,65)" "2017/2018" 26763 11521
"220" "ESP" "Male" "[15,65)" "2018/2019" 26335 11153
"221" "ESP" "Male" "[15,65)" "2019/2020" 26178.0744866077 13118.2711287754
"222" "ESP" "Male" "[65,75)" "2007/2008" 26690 11193
"223" "ESP" "Male" "[65,75)" "2008/2009" 25691 10994
"224" "ESP" "Male" "[65,75)" "2009/2010" 24836 10686
"225" "ESP" "Male" "[65,75)" "2010/2011" 24849 10525
"226" "ESP" "Male" "[65,75)" "2011/2012" 24364 10583
"227" "ESP" "Male" "[65,75)" "2012/2013" 23654 10266
"228" "ESP" "Male" "[65,75)" "2013/2014" 24614 10677
"229" "ESP" "Male" "[65,75)" "2014/2015" 25853 11134
"230" "ESP" "Male" "[65,75)" "2015/2016" 25299 11127
"231" "ESP" "Male" "[65,75)" "2016/2017" 26142 11125
"232" "ESP" "Male" "[65,75)" "2017/2018" 27310 11272
"233" "ESP" "Male" "[65,75)" "2018/2019" 26826 11369
"234" "ESP" "Male" "[65,75)" "2019/2020" 26240.1471927632 15280.4863280259
"235" "ESP" "Male" "[75,85)" "2007/2008" 48060 20582
"236" "ESP" "Male" "[75,85)" "2008/2009" 48103 20674
"237" "ESP" "Male" "[75,85)" "2009/2010" 46395 20384
"238" "ESP" "Male" "[75,85)" "2010/2011" 47339 20427
"239" "ESP" "Male" "[75,85)" "2011/2012" 49160 20822
"240" "ESP" "Male" "[75,85)" "2012/2013" 45759 19900
"241" "ESP" "Male" "[75,85)" "2013/2014" 45982 19466
"242" "ESP" "Male" "[75,85)" "2014/2015" 46200 19796
"243" "ESP" "Male" "[75,85)" "2015/2016" 44201 19196
"244" "ESP" "Male" "[75,85)" "2016/2017" 44980 18363
"245" "ESP" "Male" "[75,85)" "2017/2018" 44159 18327
"246" "ESP" "Male" "[75,85)" "2018/2019" 42082 17835
"247" "ESP" "Male" "[75,85)" "2019/2020" 40535.3874227219 25773.0562689036
"248" "ESP" "Male" "85+" "2007/2008" 32555 14034
"249" "ESP" "Male" "85+" "2008/2009" 34571 14604
"250" "ESP" "Male" "85+" "2009/2010" 34252 15371
"251" "ESP" "Male" "85+" "2010/2011" 37070 15732
"252" "ESP" "Male" "85+" "2011/2012" 41439 17427
"253" "ESP" "Male" "85+" "2012/2013" 39236 17288
"254" "ESP" "Male" "85+" "2013/2014" 41692 18231
"255" "ESP" "Male" "85+" "2014/2015" 46674 19933
"256" "ESP" "Male" "85+" "2015/2016" 45000 20151
"257" "ESP" "Male" "85+" "2016/2017" 51107 20571
"258" "ESP" "Male" "85+" "2017/2018" 52956 22195
"259" "ESP" "Male" "85+" "2018/2019" 52090 22286
"260" "ESP" "Male" "85+" "2019/2020" 51545.3435100817 31930.1265594395
"261" "FRATNP" "Female" "[0,15)" "2007/2008" 1193.01808464503 590
"262" "FRATNP" "Female" "[0,15)" "2008/2009" 1295.00686591276 560.023258322271
"263" "FRATNP" "Female" "[0,15)" "2009/2010" 1277.02897670126 562.032317091265
"264" "FRATNP" "Female" "[0,15)" "2010/2011" 1219.60772336643 543.01268706541
"265" "FRATNP" "Female" "[0,15)" "2011/2012" 1141.05226252535 536.013801981376
"266" "FRATNP" "Female" "[0,15)" "2012/2013" 1212.01754708562 528.01444319046
"267" "FRATNP" "Female" "[0,15)" "2013/2014" 1192.0407205142 529.007181328546
"268" "FRATNP" "Female" "[0,15)" "2014/2015" 1159.04705193626 487.003850473287
"269" "FRATNP" "Female" "[0,15)" "2015/2016" 1149.02228535629 482.005505849965
"270" "FRATNP" "Female" "[0,15)" "2016/2017" 1149.03773856067 487.014116566952
"271" "FRATNP" "Female" "[0,15)" "2017/2018" 1130.02653362507 484.013044986048
"272" "FRATNP" "Female" "[0,15)" "2018/2019" 1132.04265923188 451.011631253375
"273" "FRATNP" "Female" "[0,15)" "2019/2020" 1066.01983256932 440.015826225512
"274" "FRATNP" "Female" "[15,65)" "2007/2008" 22949.3902465614 9976
"275" "FRATNP" "Female" "[15,65)" "2008/2009" 23335.1270193861 10181.3771190364
"276" "FRATNP" "Female" "[15,65)" "2009/2010" 23469.5394153437 10150.5537379355
"277" "FRATNP" "Female" "[15,65)" "2010/2011" 23527.0365977407 9984.26335646874
"278" "FRATNP" "Female" "[15,65)" "2011/2012" 23246.9250214191 9966.26145305749
"279" "FRATNP" "Female" "[15,65)" "2012/2013" 23133.340818881 9874.34765044189
"280" "FRATNP" "Female" "[15,65)" "2013/2014" 22302.7092445214 9763.12288051067
"281" "FRATNP" "Female" "[15,65)" "2014/2015" 22387.7927974978 9601.10396277876
"282" "FRATNP" "Female" "[15,65)" "2015/2016" 21720.3516216874 9683.11183757742
"283" "FRATNP" "Female" "[15,65)" "2016/2017" 22014.748903018 9525.23497179634
"284" "FRATNP" "Female" "[15,65)" "2017/2018" 22374.6294331852 9538.22594047806
"285" "FRATNP" "Female" "[15,65)" "2018/2019" 22163.8765134564 9227.20195306831
"286" "FRATNP" "Female" "[15,65)" "2019/2020" 21502.4226236545 9650.36268038659
"287" "FRATNP" "Female" "[65,75)" "2007/2008" 17994.3146590392 7879
"288" "FRATNP" "Female" "[65,75)" "2008/2009" 17867.0971324717 7475.28985748499
"289" "FRATNP" "Female" "[65,75)" "2009/2010" 17395.3972111918 7417.7315537387
"290" "FRATNP" "Female" "[65,75)" "2010/2011" 17109.1504208004 7107.17783037694
"291" "FRATNP" "Female" "[65,75)" "2011/2012" 16969.6634606653 7533.19395638469
"292" "FRATNP" "Female" "[65,75)" "2012/2013" 17675.2702564615 7809.28266666198
"293" "FRATNP" "Female" "[65,75)" "2013/2014" 17673.5646471978 7786.10313185717
"294" "FRATNP" "Female" "[65,75)" "2014/2015" 18779.670115995 8177.08278517568
"295" "FRATNP" "Female" "[65,75)" "2015/2016" 19158.2915235365 8760.09910529938
"296" "FRATNP" "Female" "[65,75)" "2016/2017" 21047.755913325 9092.21726350204
"297" "FRATNP" "Female" "[65,75)" "2017/2018" 21781.6201293944 9456.21937623082
"298" "FRATNP" "Female" "[65,75)" "2018/2019" 22498.8786720843 9834.21935410348
"299" "FRATNP" "Female" "[65,75)" "2019/2020" 22840.4331728435 11045.413614575
"300" "FRATNP" "Female" "[75,85)" "2007/2008" 51342.8457278676 22425
"301" "FRATNP" "Female" "[75,85)" "2008/2009" 52411.2833198708 21251.850767024
"302" "FRATNP" "Female" "[75,85)" "2009/2010" 49488.1076572325 21202.6336336207
"303" "FRATNP" "Female" "[75,85)" "2010/2011" 49133.8665153144 20031.5223306836
"304" "FRATNP" "Female" "[75,85)" "2011/2012" 48334.8136655124 20628.5083472139
"305" "FRATNP" "Female" "[75,85)" "2012/2013" 48103.7482951283 20066.7227083919
"306" "FRATNP" "Female" "[75,85)" "2013/2014" 44586.4403463976 18936.2379812487
"307" "FRATNP" "Female" "[75,85)" "2014/2015" 46366.651031006 19532.226375742
"308" "FRATNP" "Female" "[75,85)" "2015/2016" 43528.6797610287 18738.2179972471
"309" "FRATNP" "Female" "[75,85)" "2016/2017" 44622.6287644727 17500.4186190446
"310" "FRATNP" "Female" "[75,85)" "2017/2018" 42657.1974554917 17821.4062633529
"311" "FRATNP" "Female" "[75,85)" "2018/2019" 41501.5723113577 17526.3975798722
"312" "FRATNP" "Female" "[75,85)" "2019/2020" 40382.7853922649 20135.7894223963
"313" "FRATNP" "Female" "85+" "2007/2008" 87087.4312818867 37697
"314" "FRATNP" "Female" "85+" "2008/2009" 91978.4856623586 37731.4589981324
"315" "FRATNP" "Female" "85+" "2009/2010" 89849.9267395308 39342.0487576138
"316" "FRATNP" "Female" "85+" "2010/2011" 95006.3387427781 39139.0237954053
"317" "FRATNP" "Female" "85+" "2011/2012" 100888.545589878 44057.0224413625
"318" "FRATNP" "Female" "85+" "2012/2013" 104926.623082444 44798.6325313137
"319" "FRATNP" "Female" "85+" "2013/2014" 101239.245041369 43619.5288250548
"320" "FRATNP" "Female" "85+" "2014/2015" 113108.839003565 47600.5830258302
"321" "FRATNP" "Female" "85+" "2015/2016" 110474.654808391 48605.5655540261
"322" "FRATNP" "Female" "85+" "2016/2017" 125568.828680624 47299.1150290901
"323" "FRATNP" "Female" "85+" "2017/2018" 123571.526448304 52017.1353749522
"324" "FRATNP" "Female" "85+" "2018/2019" 122901.62984387 51153.1694817026
"325" "FRATNP" "Female" "85+" "2019/2020" 121548.338978668 60782.4184564166
"326" "FRATNP" "Male" "[0,15)" "2007/2008" 1651.04731897152 740.028413576287
"327" "FRATNP" "Male" "[0,15)" "2008/2009" 1571 712.030894235612
"328" "FRATNP" "Male" "[0,15)" "2009/2010" 1665.09078497948 728.720649792351
"329" "FRATNP" "Male" "[0,15)" "2010/2011" 1539.29294306789 665.016457180198
"330" "FRATNP" "Male" "[0,15)" "2011/2012" 1468.0456841201 632.039173009717
"331" "FRATNP" "Male" "[0,15)" "2012/2013" 1511.06163300343 677.02719877069
"332" "FRATNP" "Male" "[0,15)" "2013/2014" 1527.0644114399 636.024748742552
"333" "FRATNP" "Male" "[0,15)" "2014/2015" 1497.11043548686 643.048644124832
"334" "FRATNP" "Male" "[0,15)" "2015/2016" 1506.04606844041 655.020594907813
"335" "FRATNP" "Male" "[0,15)" "2016/2017" 1375.06002833393 650.023016297336
"336" "FRATNP" "Male" "[0,15)" "2017/2018" 1391.03579643491 649.014985195699
"337" "FRATNP" "Male" "[0,15)" "2018/2019" 1475.06853448221 645.051034378194
"338" "FRATNP" "Male" "[0,15)" "2019/2020" 1410.0383729013 554.036096827975
"339" "FRATNP" "Male" "[15,65)" "2007/2008" 49909.3485415774 21947.7880151661
"340" "FRATNP" "Male" "[15,65)" "2008/2009" 49961 22058.8080619203
"341" "FRATNP" "Male" "[15,65)" "2009/2010" 50296.1354431237 22193.5334372583
"342" "FRATNP" "Male" "[15,65)" "2010/2011" 50100.0691479398 21694.5372396684
"343" "FRATNP" "Male" "[15,65)" "2011/2012" 49256.2618246295 21306.2698761155
"344" "FRATNP" "Male" "[15,65)" "2012/2013" 48346.9346387751 20706.9855265441
"345" "FRATNP" "Male" "[15,65)" "2013/2014" 45972.9558436223 19886.7593118363
"346" "FRATNP" "Male" "[15,65)" "2014/2015" 45562.2192682093 20172.3630978156
"347" "FRATNP" "Male" "[15,65)" "2015/2016" 44617.3521816368 19559.6596960004
"348" "FRATNP" "Male" "[15,65)" "2016/2017" 43847.8527521864 18960.6605233289
"349" "FRATNP" "Male" "[15,65)" "2017/2018" 43756.0785825204 18725.4205744251
"350" "FRATNP" "Male" "[15,65)" "2018/2019" 42275.1807690872 18372.4681580961
"351" "FRATNP" "Male" "[15,65)" "2019/2020" 40975.1724342972 19117.4214827965
"352" "FRATNP" "Male" "[65,75)" "2007/2008" 33548.8981502915 14265.5229586894
"353" "FRATNP" "Male" "[65,75)" "2008/2009" 32927 14015.5022872097
"354" "FRATNP" "Male" "[65,75)" "2009/2010" 31456.9466099196 14174.4357284724
"355" "FRATNP" "Male" "[65,75)" "2010/2011" 31503.9157803784 13754.338018822
"356" "FRATNP" "Male" "[65,75)" "2011/2012" 31530.8226316371 14297.8261337309
"357" "FRATNP" "Male" "[65,75)" "2012/2013" 33274.3217719542 14560.6873211217
"358" "FRATNP" "Male" "[65,75)" "2013/2014" 33582.406102878 14777.5339972376
"359" "FRATNP" "Male" "[65,75)" "2014/2015" 35079.4541601631 15428.0808252702
"360" "FRATNP" "Male" "[65,75)" "2015/2016" 36174.1006991509 16374.5637896823
"361" "FRATNP" "Male" "[65,75)" "2016/2017" 38705.6515534759 16559.5892981105
"362" "FRATNP" "Male" "[65,75)" "2017/2018" 39801.961570753 17702.3872864978
"363" "FRATNP" "Male" "[65,75)" "2018/2019" 41155.155764303 17597.3762184328
"364" "FRATNP" "Male" "[65,75)" "2019/2020" 41497.1958009484 20536.5507856405
"365" "FRATNP" "Male" "[75,85)" "2007/2008" 59531.5525386182 25919.9459509097
"366" "FRATNP" "Male" "[75,85)" "2008/2009" 59990 24786.9213036218
"367" "FRATNP" "Male" "[75,85)" "2009/2010" 57398.6732917163 25157.8668482197
"368" "FRATNP" "Male" "[75,85)" "2010/2011" 57195.304348065 23961.5860786391
"369" "FRATNP" "Male" "[75,85)" "2011/2012" 56793.4733706156 24348.4463383376
"370" "FRATNP" "Male" "[75,85)" "2012/2013" 56387.2736578727 23913.1333850246
"371" "FRATNP" "Male" "[75,85)" "2013/2014" 53368.2413327111 23449.8155145834
"372" "FRATNP" "Male" "[75,85)" "2014/2015" 55065.7882898753 23618.6567287092
"373" "FRATNP" "Male" "[75,85)" "2015/2016" 52788.5831863186 22962.7904971608
"374" "FRATNP" "Male" "[75,85)" "2016/2017" 53980.3478634476 21561.7737660704
"375" "FRATNP" "Male" "[75,85)" "2017/2018" 52681.2913877022 22138.5025914588
"376" "FRATNP" "Male" "[75,85)" "2018/2019" 51877.7275988657 21877.7685056227
"377" "FRATNP" "Male" "[75,85)" "2019/2020" 50441.4689614363 25986.1248953517
"378" "FRATNP" "Male" "85+" "2007/2008" 44865.1534505415 19295.7146616585
"379" "FRATNP" "Male" "85+" "2008/2009" 48234 19911.7374530126
"380" "FRATNP" "Male" "85+" "2009/2010" 48248.1538702609 21389.4433362573
"381" "FRATNP" "Male" "85+" "2010/2011" 51365.417780549 21672.5222056903
"382" "FRATNP" "Male" "85+" "2011/2012" 55046.3964889977 23841.4184788063
"383" "FRATNP" "Male" "85+" "2012/2013" 58034.4082983945 24962.1665685389
"384" "FRATNP" "Male" "85+" "2013/2014" 56442.3323093487 24664.8664276002
"385" "FRATNP" "Male" "85+" "2014/2015" 63501.4278462654 26587.8507040802
"386" "FRATNP" "Male" "85+" "2015/2016" 62230.9178644532 27588.9654222486
